example_id,group,symbol,timeframe,htf_timeframe,status,ltf_rows,htf_rows,htf_status,error
exp252_forex_eurusd_h4,Forex Majors,EURUSD.r,H4,D1,ok,900,520,ok,
exp252_forex_gbpusd_h4,Forex Majors,GBPUSD.r,H4,D1,ok,900,520,ok,
exp252_forex_usdjpy_h4,Forex Majors,USDJPY.r,H4,D1,error,0,0,not_available,insufficient SQL rows: 0
exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,D1,ok,900,520,ok,
exp252_forex_eurjpy_h4,Forex Majors,EURJPY.r,H4,D1,ok,900,520,ok,
exp252_forex_gbpjpy_h4,Forex Majors,GBPJPY.r,H4,D1,ok,900,520,ok,
exp252_metals_xauusd_h4,Metals,XAUUSD.r,H4,D1,ok,900,520,ok,
exp252_metals_xagusd_h4,Metals,XAGUSD.r,H4,D1,ok,900,520,ok,
exp252_metals_xptusd_h4,Metals,XPTUSD,H4,D1,ok,900,520,ok,
exp252_metals_xpdusd_h4,Metals,XPDUSD,H4,D1,ok,900,520,ok,
exp252_index_aus200_h4,Index,AUS200,H4,D1,ok,900,520,ok,
exp252_index_hk50_h4,Index,HK50,H4,D1,ok,900,520,ok,
exp252_index_us500_h4,Index,US500,H4,D1,ok,900,520,ok,
exp252_index_us30_h4,Index,US30,H4,D1,ok,900,520,ok,
