hypothesis_id,symbol,timeframe,cut_number,as_of_bar_time,estimated_current_wave,confirmed_wave_context,wave_event,wave_event_reason,display_policy
persistent_wave_v0_US500_H4_cut01_20250825T080000,US500,H4,1,2025-08-25T08:00:00,possible_wave1,unknown,initial_hypothesis,candidate_pivot_guides_estimate,show_with_warning
persistent_wave_v0_US500_H4_cut02_20250916T080000,US500,H4,2,2025-09-16T08:00:00,possible_wave2,possible_wave1,wave_phase_changed,candidate_pivot_guides_estimate;persistent_pivots=1,show_with_warning
persistent_wave_v0_US500_H4_cut03_20251008T080000,US500,H4,3,2025-10-08T08:00:00,possible_wave2,possible_wave1,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=1,show_with_warning
persistent_wave_v0_US500_H4_cut04_20251030T040000,US500,H4,4,2025-10-30T04:00:00,possible_wave3_active,possible_wave2,wave_phase_changed,candidate_pivot_guides_estimate;persistent_pivots=2,show_with_warning
persistent_wave_v0_US500_H4_cut05_20251121T040000,US500,H4,5,2025-11-21T04:00:00,possible_wave4,possible_wave3_active,wave_phase_changed,candidate_pivot_guides_estimate;persistent_pivots=3,show_with_warning
persistent_wave_v0_US500_H4_cut06_20251215T040000,US500,H4,6,2025-12-15T04:00:00,possible_wave5_candidate,possible_wave5_candidate,wave_phase_changed,candidate_pivot_guides_estimate;persistent_pivots=5,show_with_warning
persistent_wave_v0_US500_H4_cut07_20260108T040000,US500,H4,7,2026-01-08T04:00:00,possible_wave5_active,possible_wave5_active,wave_phase_changed,candidate_pivot_guides_estimate;persistent_pivots=6,show_with_warning
persistent_wave_v0_US500_H4_cut08_20260130T040000,US500,H4,8,2026-01-30T04:00:00,possible_wave5_active,possible_wave5_active,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=9,show_with_warning
persistent_wave_v0_US500_H4_cut09_20260223T080000,US500,H4,9,2026-02-23T08:00:00,possible_wave5_active,possible_wave5_active,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=12,show_with_warning
persistent_wave_v0_US500_H4_cut10_20260317T040000,US500,H4,10,2026-03-17T04:00:00,possible_wave5_active,possible_wave5_active,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=14,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut01_20250826T000000,XAUUSD.r,H4,1,2025-08-26T00:00:00,possible_wave1,unknown,initial_hypothesis,candidate_pivot_guides_estimate,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut02_20250916T200000,XAUUSD.r,H4,2,2025-09-16T20:00:00,possible_wave2,possible_wave1,wave_phase_changed,candidate_pivot_guides_estimate;persistent_pivots=1,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut03_20251008T200000,XAUUSD.r,H4,3,2025-10-08T20:00:00,possible_wave2,possible_wave1,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=1,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut04_20251030T160000,XAUUSD.r,H4,4,2025-10-30T16:00:00,possible_wave2,possible_wave1,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=1,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut05_20251121T160000,XAUUSD.r,H4,5,2025-11-21T16:00:00,possible_wave4,possible_wave3_candidate,wave_phase_changed,candidate_pivot_guides_estimate;persistent_pivots=3,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut06_20251215T120000,XAUUSD.r,H4,6,2025-12-15T12:00:00,possible_wave5_active,possible_wave4,wave_phase_changed,candidate_pivot_guides_estimate;persistent_pivots=4,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut07_20260108T120000,XAUUSD.r,H4,7,2026-01-08T12:00:00,possible_wave5_active,possible_wave5_active,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=5,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut08_20260130T080000,XAUUSD.r,H4,8,2026-01-30T08:00:00,possible_wave5_active,possible_wave5_active,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=5,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut09_20260223T080000,XAUUSD.r,H4,9,2026-02-23T08:00:00,possible_wave5_active,possible_wave5_active,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=6,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut10_20260317T040000,XAUUSD.r,H4,10,2026-03-17T04:00:00,possible_wave5_active,possible_wave5_active,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=7,show_with_warning
